"UID","Price_Change","Percent_Change","Product_ID","Full_Name","Category","Item","Retailer","Shelf_Price","Offer_Price_per_unit","Price_per_unit","Size","Unit","Date"
"125839 Waitrose Aberdeen Angus Mince Beef - 5% Fat (400g)",0,0,"125839","Waitrose Aberdeen Angus Mince Beef - 5% Fat (400g)","Minced_Beef","Waitrose Aberdeen Angus Mince Beef - 5% Fat ","Ocado",5,NA,8.33,"400g","Kg",2019-01-21
"125837 Waitrose Aberdeen Angus Mince Beef - 10% Fat (400g)",0,0,"125837","Waitrose Aberdeen Angus Mince Beef - 10% Fat (400g)","Minced_Beef","Waitrose Aberdeen Angus Mince Beef - 10% Fat ","Ocado",4.3,8.33,10.75,"400g","Kg",2019-01-21
"255811 Waitrose Duchy Organic Mince Beef - 10% Fat (400g)",0,0,"255811","Waitrose Duchy Organic Mince Beef - 10% Fat (400g)","Minced_Beef","Waitrose Duchy Organic Mince Beef - 10% Fat ","Ocado",4.3,8.33,10.75,"400g","Kg",2019-01-21
"261430 Ocado Beef Mince - 20% Fat (500g)",0,0,"261430","Ocado Beef Mince - 20% Fat (500g)","Minced_Beef","Ocado Beef Mince - 20% Fat ","Ocado",2.5,NA,5,"500g","Kg",2019-01-21
"271935 Waitrose Hereford Beef Mince -10% Fat (400g)",0,0,"271935","Waitrose Hereford Beef Mince -10% Fat (400g)","Minced_Beef","Waitrose Hereford Beef Mince -10% Fat ","Ocado",4.3,8.33,10.75,"400g","Kg",2019-01-21
"254165 Ocado Beef Steak Mince - 5% Fat (500g)",0,0,"254165","Ocado Beef Steak Mince - 5% Fat (500g)","Minced_Beef","Ocado Beef Steak Mince - 5% Fat ","Ocado",3.39,NA,6.78,"500g","Kg",2019-01-21
"443010 Eden Hereford Beef Steak Mince - 15% Fat (500g)",0,0,"443010","Eden Hereford Beef Steak Mince - 15% Fat (500g)","Minced_Beef","Eden Hereford Beef Steak Mince - 15% Fat ","Ocado",5.49,NA,5.48,"500g","Kg",2019-01-21
"541673 Essential Waitrose British Beef Mince - 10% Fat (500g)",0,0,"541673","Essential Waitrose British Beef Mince - 10% Fat (500g)","Minced_Beef","Essential Waitrose British Beef Mince - 10% Fat ","Ocado",3.2,NA,6.4,"500g","Kg",2019-01-21
"NA Ocado Beef Steak Mince - 10% Fat (750g)",0,0,"NA","Ocado Beef Steak Mince - 10% Fat (750g)","Minced_Beef","Ocado Beef Steak Mince - 10% Fat ","Ocado",4.93,NA,6.57,"750g","Kg",2019-01-21
"317323 Ocado Beef Steak Mince - 5% Fat (250g)",0,0,"317323","Ocado Beef Steak Mince - 5% Fat (250g)","Minced_Beef","Ocado Beef Steak Mince - 5% Fat ","Ocado",2.19,8,8.76,"250g","Kg",2019-01-21
"456090 Pure Irish Organic Beef Steak Mince - 15% Fat (400g)",0,0,"456090","Pure Irish Organic Beef Steak Mince - 15% Fat (400g)","Minced_Beef","Pure Irish Organic Beef Steak Mince - 15% Fat ","Ocado",5,10,12.5,"400g","Kg",2019-01-21
"398672 Eversfield Organic Beef Steak Mince Grass Fed (Approx 400g)",0,0,"398672","Eversfield Organic Beef Steak Mince Grass Fed (Approx 400g)","Minced_Beef","Eversfield Organic Beef Steak Mince Grass Fed ","Ocado",5.99,NA,12.73,"Approx 400g","Kg",2019-01-21
"540278 Waitrose Aberdeen Angus Mince Beef - 15% Fat (400g)",0,0,"540278","Waitrose Aberdeen Angus Mince Beef - 15% Fat (400g)","Minced_Beef","Waitrose Aberdeen Angus Mince Beef - 15% Fat ","Ocado",4,NA,10,"400g","Kg",2019-01-21
"273340 Waitrose 1 Veal Mince - 15% Fat (400g)",0,0,"273340","Waitrose 1 Veal Mince - 15% Fat (400g)","Minced_Beef","Waitrose 1 Veal Mince - 15% Fat ","Ocado",4.29,8.33,10.73,"400g","Kg",2019-01-21
"336225 Ocado Gold Angus Beef Mince - 15% Fat (500g)",0,0,"336225","Ocado Gold Angus Beef Mince - 15% Fat (500g)","Minced_Beef","Ocado Gold Angus Beef Mince - 15% Fat ","Ocado",4,6.75,8,"500g","Kg",2019-01-21
"NA Eden Lean Beef Mince - 5% Fat (400g)",0,0,"NA","Eden Lean Beef Mince - 5% Fat (400g)","Minced_Beef","Eden Lean Beef Mince - 5% Fat ","Ocado",4.2,8.33,10.5,"400g","Kg",2019-01-21
"370576 Brookfield Farm Organic Extra Lean Beef Mince (400g)",0,0,"370576","Brookfield Farm Organic Extra Lean Beef Mince (400g)","Minced_Beef","Brookfield Farm Organic Extra Lean Beef Mince ","Ocado",5.29,NA,13.23,"400g","Kg",2019-01-21
"431827 Daylesford Organic Extra Lean Beef Mince - 5% Fat (500g)",0,0,"431827","Daylesford Organic Extra Lean Beef Mince - 5% Fat (500g)","Minced_Beef","Daylesford Organic Extra Lean Beef Mince - 5% Fat ","Ocado",6.99,NA,11.18,"500g","Kg",2019-01-21
"381511 Ocado Gold Angus Lean Beef Steak Mince - 5% Fat (500g)",0,0,"381511","Ocado Gold Angus Lean Beef Steak Mince - 5% Fat (500g)","Minced_Beef","Ocado Gold Angus Lean Beef Steak Mince - 5% Fat ","Ocado",6.24,10,12.48,"500g","Kg",2019-01-21
"385844 Eversfield Organic Beef Steak Mince Grass Fed - 5% Fat (Approx 400g)",0,0,"385844","Eversfield Organic Beef Steak Mince Grass Fed - 5% Fat (Approx 400g)","Minced_Beef","Eversfield Organic Beef Steak Mince Grass Fed - 5% Fat ","Ocado",5.99,NA,14.98,"Approx 400g","Kg",2019-01-21
"542721 The Juicy Meat Co. Dry Aged Beef Rib Ragu (400g)",0,0,"542721","The Juicy Meat Co. Dry Aged Beef Rib Ragu (400g)","Minced_Beef","The Juicy Meat Co. Dry Aged Beef Rib Ragu ","Ocado",4.49,8.33,11.23,"400g","Kg",2019-01-21
"496509 Frohwein's Kosher Beef Mince (Approx 450g)",0,0,"496509","Frohwein's Kosher Beef Mince (Approx 450g)","Minced_Beef","Frohwein's Kosher Beef Mince ","Ocado",5,NA,11.11,"Approx 450g","Kg",2019-01-21
"321383 Haloodies Beef Mince Halal (454g)",0,0,"321383","Haloodies Beef Mince Halal (454g)","Minced_Beef","Haloodies Beef Mince Halal ","Ocado",4.49,NA,9.89,"454g","Kg",2019-01-21
"361898 Daylesford Organic Beef Mince - 20% Fat (500g)",0,0,"361898","Daylesford Organic Beef Mince - 20% Fat (500g)","Minced_Beef","Daylesford Organic Beef Mince - 20% Fat ","Ocado",6,NA,12,"500g","Kg",2019-01-21
"215639 Daylesford Organic Aberdeen Angus Beef Mince - 10% Fat (500g)",0,0,"215639","Daylesford Organic Aberdeen Angus Beef Mince - 10% Fat (500g)","Minced_Beef","Daylesford Organic Aberdeen Angus Beef Mince - 10% Fat ","Ocado",6.79,NA,13.58,"500g","Kg",2019-01-21
"NA Pure Irish Organic Extra Lean Beef Steak Mince - 5% Fat (400g)",0,0,"NA","Pure Irish Organic Extra Lean Beef Steak Mince - 5% Fat (400g)","Minced_Beef","Pure Irish Organic Extra Lean Beef Steak Mince - 5% Fat ","Ocado",5.75,NA,10.78,"400g","Kg",2019-01-21
"NA Brookfield Farm Veal Mince (400g)",0,0,"NA","Brookfield Farm Veal Mince (400g)","Minced_Beef","Brookfield Farm Veal Mince ","Ocado",3.99,NA,9.98,"400g","Kg",2019-01-21
"542716 The Juicy Meat Co. 5% Mince (450g)",0,0,"542716","The Juicy Meat Co. 5% Mince (450g)","Minced_Beef","The Juicy Meat Co. 5% Mince ","Ocado",4.5,NA,6.67,"450g","Kg",2019-01-21
"542719 The Juicy Meat Co. Organic 5% Mince (400g)",0,0,"542719","The Juicy Meat Co. Organic 5% Mince (400g)","Minced_Beef","The Juicy Meat Co. Organic 5% Mince ","Ocado",5.99,12.5,14.98,"400g","Kg",2019-01-21
"029513 Sainsbury's Beef Mince - 12% Fat (500g)",0,0,"029513","Sainsbury's Beef Mince - 12% Fat (500g)","Minced_Beef","Sainsbury's Beef Mince - 12% Fat ","Sainsburys",2.5,NA,5,"500g","Kg",2019-01-21
"484652 Sainsbury's Beef Mince - 5% Fat (750g)",0,0,"484652","Sainsbury's Beef Mince - 5% Fat (750g)","Minced_Beef","Sainsbury's Beef Mince - 5% Fat ","Sainsburys",5,NA,6.67,"750g","Kg",2019-01-21
"029507 Sainsbury's Beef Mince - 5% Fat (500g)",0,0,"029507","Sainsbury's Beef Mince - 5% Fat (500g)","Minced_Beef","Sainsbury's Beef Mince - 5% Fat ","Sainsburys",3.5,NA,7,"500g","Kg",2019-01-21
"484651 Sainsbury's Beef Mince - 5% Fat (250g)",0,0,"484651","Sainsbury's Beef Mince - 5% Fat (250g)","Minced_Beef","Sainsbury's Beef Mince - 5% Fat ","Sainsburys",2.2,NA,8.8,"250g","Kg",2019-01-21
"351288 Sainsbury's British Beef Mince - 20% Fat (500g)",0,0,"351288","Sainsbury's British Beef Mince - 20% Fat (500g)","Minced_Beef","Sainsbury's British Beef Mince - 20% Fat ","Sainsburys",1.95,NA,3.9,"500g","Kg",2019-01-21
"526180 Sainsbury's Organic Beef Mince - 12% Fat (400g)",0,0,"526180","Sainsbury's Organic Beef Mince - 12% Fat (400g)","Minced_Beef","Sainsbury's Organic Beef Mince - 12% Fat ","Sainsburys",3,NA,7.5,"400g","Kg",2019-01-21
"526194 Sainsbury's Organic Beef Mince - 5% Fat (400g)",0,0,"526194","Sainsbury's Organic Beef Mince - 5% Fat (400g)","Minced_Beef","Sainsbury's Organic Beef Mince - 5% Fat ","Sainsburys",3.8,NA,9.5,"400g","Kg",2019-01-21
"484650 Sainsbury's Taste the Difference Beef Mince - 12% Fat (500g)",0,0,"484650","Sainsbury's Taste the Difference Beef Mince - 12% Fat (500g)","Minced_Beef","Sainsbury's Taste the Difference Beef Mince - 12% Fat ","Sainsburys",4,NA,8,"500g","Kg",2019-01-21
"268706 Sainsbury's Taste the Difference Freedom Food British Veal Mince (500g)",0,0,"268706","Sainsbury's Taste the Difference Freedom Food British Veal Mince (500g)","Minced_Beef","Sainsbury's Taste the Difference Freedom Food British Veal Mince ","Sainsburys",5.5,NA,11,"500g","Kg",2019-01-21
"264394 Tesco Beef Mince - 15% Fat (750g)",0,0,"264394","Tesco Beef Mince - 15% Fat (750g)","Minced_Beef","Tesco Beef Mince - 15% Fat ","Tesco",3.79,NA,5.05,"750g","Kg",2019-01-21
"476206 Tesco Beef Mince - 15% Fat (500g)",0,0,"476206","Tesco Beef Mince - 15% Fat (500g)","Minced_Beef","Tesco Beef Mince - 15% Fat ","Tesco",2.5,NA,5,"500g","Kg",2019-01-21
"323974 Tesco Beef Steak Mince - 5% Fat (750g)",0,0,"323974","Tesco Beef Steak Mince - 5% Fat (750g)","Minced_Beef","Tesco Beef Steak Mince - 5% Fat ","Tesco",4.5,NA,6,"750g","Kg",2019-01-21
"012436 Tesco Beef Steak Mince - 5% Fat (500g)",0,0,"012436","Tesco Beef Steak Mince - 5% Fat (500g)","Minced_Beef","Tesco Beef Steak Mince - 5% Fat ","Tesco",3.39,NA,6.78,"500g","Kg",2019-01-21
"475759 Tesco Boswell Farms Beef Mince - 20% Fat (1Kg)",0,0,"475759","Tesco Boswell Farms Beef Mince - 20% Fat (1Kg)","Minced_Beef","Tesco Boswell Farms Beef Mince - 20% Fat ","Tesco",2.97,NA,2.97,"1Kg","Kg",2019-01-21
"428248 Tesco Boswell Farms Beef Mince - 20% Fat (500g)",0,0,"428248","Tesco Boswell Farms Beef Mince - 20% Fat (500g)","Minced_Beef","Tesco Boswell Farms Beef Mince - 20% Fat ","Tesco",1.49,NA,2.98,"500g","Kg",2019-01-21
"301632 Tesco Beef Steak Mince - 5% Fat (250g)",0,0,"301632","Tesco Beef Steak Mince - 5% Fat (250g)","Minced_Beef","Tesco Beef Steak Mince - 5% Fat ","Tesco",2.19,NA,8.76,"250g","Kg",2019-01-21
"301180 Tesco Finest Aberdeen Angus Beef Mince - 15% Fat (500g)",0,0,"301180","Tesco Finest Aberdeen Angus Beef Mince - 15% Fat (500g)","Minced_Beef","Tesco Finest Aberdeen Angus Beef Mince - 15% Fat ","Tesco",4,NA,7,"500g","Kg",2019-01-21
"168074 Tesco Organic Steak Mince - 15% Fat (500g)",0,0,"168074","Tesco Organic Steak Mince - 15% Fat (500g)","Minced_Beef","Tesco Organic Steak Mince - 15% Fat ","Tesco",4.5,NA,9,"500g","Kg",2019-01-21
"232423 Tesco Counter Beef Steak Mince - 12% Fat (Approx 300g)",0,0,"232423","Tesco Counter Beef Steak Mince - 12% Fat (Approx 300g)","Minced_Beef","Tesco Counter Beef Steak Mince - 12% Fat ","Tesco",1.8,NA,6,"Approx 300g","Kg",2019-01-21
"304485 Tesco Finest Veal Mince - 15% Fat (500g)",0,0,"304485","Tesco Finest Veal Mince - 15% Fat (500g)","Minced_Beef","Tesco Finest Veal Mince - 15% Fat ","Tesco",4.5,NA,9,"500g","Kg",2019-01-21
"269983 ASDA Grower's Selection White Mushrooms (400g)",0,0,"269983","ASDA Grower's Selection White Mushrooms (400g)","Mushrooms","ASDA Grower's Selection White Mushrooms ","ASDA",1,NA,2.5,"400g","Kg",2019-01-21
"417648 ASDA Grower's Selection White Mushrooms (250g)",0,0,"417648","ASDA Grower's Selection White Mushrooms (250g)","Mushrooms","ASDA Grower's Selection White Mushrooms ","ASDA",0.7,NA,2.8,"250g","Kg",2019-01-21
"042698 ASDA Grower's Selection Chestnut Mushrooms (250g)",0,0,"042698","ASDA Grower's Selection Chestnut Mushrooms (250g)","Mushrooms","ASDA Grower's Selection Chestnut Mushrooms ","ASDA",0.9,NA,3.6,"250g","Kg",2019-01-21
"543053 ASDA Farm Stores White Mushrooms (250g)",0,0,"543053","ASDA Farm Stores White Mushrooms (250g)","Mushrooms","ASDA Farm Stores White Mushrooms ","ASDA",0.54,NA,2.16,"250g","Kg",2019-01-21
"479804 ASDA Grower's Selection Baby Button Mushrooms (200g)",0,0,"479804","ASDA Grower's Selection Baby Button Mushrooms (200g)","Mushrooms","ASDA Grower's Selection Baby Button Mushrooms ","ASDA",0.75,NA,3.75,"200g","Kg",2019-01-21
"341073 ASDA Grower's Selection Sliced Mushrooms (250g)",0,0,"341073","ASDA Grower's Selection Sliced Mushrooms (250g)","Mushrooms","ASDA Grower's Selection Sliced Mushrooms ","ASDA",0.75,NA,2.8,"250g","Kg",2019-01-21
"027386 ASDA Grower's Selection Jumbo Mushrooms (250g)",0,0,"027386","ASDA Grower's Selection Jumbo Mushrooms (250g)","Mushrooms","ASDA Grower's Selection Jumbo Mushrooms ","ASDA",0.8,NA,3.2,"250g","Kg",2019-01-21
"348956 ASDA Extra Special Shitake Mushrooms (115g)",0,0,"348956","ASDA Extra Special Shitake Mushrooms (115g)","Mushrooms","ASDA Extra Special Shitake Mushrooms ","ASDA",1.25,NA,10.87,"115g","Kg",2019-01-21
"543055 ASDA Grower's Selection Organic White Mushrooms (250g)",0,0,"543055","ASDA Grower's Selection Organic White Mushrooms (250g)","Mushrooms","ASDA Grower's Selection Organic White Mushrooms ","ASDA",0.75,NA,3,"250g","Kg",2019-01-21
"455689 ASDA Extra Special Baby Portobello Mushrooms (250g)",0,0,"455689","ASDA Extra Special Baby Portobello Mushrooms (250g)","Mushrooms","ASDA Extra Special Baby Portobello Mushrooms ","ASDA",1.25,NA,5,"250g","Kg",2019-01-21
"341150 Iceland Closed Cup Mushrooms (300g)",0,0,"341150","Iceland Closed Cup Mushrooms (300g)","Mushrooms","Iceland Closed Cup Mushrooms ","Iceland",1,NA,3.33,"300g","Kg",2019-01-21
"368598 Iceland Farmer's Market Button Mushrooms (125g)",0,0,"368598","Iceland Farmer's Market Button Mushrooms (125g)","Mushrooms","Iceland Farmer's Market Button Mushrooms ","Iceland",0.55,NA,4.4,"125g","Kg",2019-01-21
"NA Iceland Farmer's Market Chestnut Mushrooms (250g)",0,0,"NA","Iceland Farmer's Market Chestnut Mushrooms (250g)","Mushrooms","Iceland Farmer's Market Chestnut Mushrooms ","Iceland",1,NA,4,"250g","Kg",2019-01-21
"454354 Oaklands Chestnut Mushrooms (250g)",0,0,"454354","Oaklands Chestnut Mushrooms (250g)","Mushrooms","Oaklands Chestnut Mushrooms ","Lidl",0.87,NA,3.48,"250g","Kg",2019-01-21
"489567 Baby Button Mushrooms (200g)",0,0,"489567","Baby Button Mushrooms (200g)","Mushrooms","Baby Button Mushrooms ","Lidl",0.72,NA,3.6,"200g","Kg",2019-01-21
"454629 Oaklands Large Flat Mushrooms (250g)",0,0,"454629","Oaklands Large Flat Mushrooms (250g)","Mushrooms","Oaklands Large Flat Mushrooms ","Lidl",0.97,NA,3.88,"250g","Kg",2019-01-21
"312001 Morrisons Mushrooms (600g)",0,0,"312001","Morrisons Mushrooms (600g)","Mushrooms","Morrisons Mushrooms ","Morrisons",1.68,NA,2.8,"600g","Kg",2019-01-21
"171890 Morrisons Chestnut Mushrooms (250g)",0,0,"171890","Morrisons Chestnut Mushrooms (250g)","Mushrooms","Morrisons Chestnut Mushrooms ","Morrisons",1,NA,4,"250g","Kg",2019-01-21
"328457 Morrisons Closed Cup Mushrooms (300g)",0,0,"328457","Morrisons Closed Cup Mushrooms (300g)","Mushrooms","Morrisons Closed Cup Mushrooms ","Morrisons",0.95,NA,3.17,"300g","Kg",2019-01-21
"295540 Morrisons Large Flat Mushrooms (250g)",0,0,"295540","Morrisons Large Flat Mushrooms (250g)","Mushrooms","Morrisons Large Flat Mushrooms ","Morrisons",1,NA,4,"250g","Kg",2019-01-21
"NA Morrisons Button Mushrooms (200g)",0,0,"NA","Morrisons Button Mushrooms (200g)","Mushrooms","Morrisons Button Mushrooms ","Morrisons",0.9,NA,4.5,"200g","Kg",2019-01-21
"474452 Morrisons Sliced Mushrooms (150g)",0,0,"474452","Morrisons Sliced Mushrooms (150g)","Mushrooms","Morrisons Sliced Mushrooms ","Morrisons",0.9,NA,6,"150g","Kg",2019-01-21
"390529 Morrisons Baby Portobello Mushrooms (200g)",0,0,"390529","Morrisons Baby Portobello Mushrooms (200g)","Mushrooms","Morrisons Baby Portobello Mushrooms ","Morrisons",1,NA,5,"200g","Kg",2019-01-21
"171943 Morrisons Organic Mushrooms (250g)",0,0,"171943","Morrisons Organic Mushrooms (250g)","Mushrooms","Morrisons Organic Mushrooms ","Morrisons",1,NA,4,"250g","Kg",2019-01-21
"422506 Morrisons The Best Woodland Mushrooms (150g)",0,0,"422506","Morrisons The Best Woodland Mushrooms (150g)","Mushrooms","Morrisons The Best Woodland Mushrooms ","Morrisons",1.5,NA,10,"150g","Kg",2019-01-21
"476915 Morrisons The Best Rustica Mushrooms (250g)",0,0,"476915","Morrisons The Best Rustica Mushrooms (250g)","Mushrooms","Morrisons The Best Rustica Mushrooms ","Morrisons",1.5,NA,6,"250g","Kg",2019-01-21
"468997 Morrisons The Best Portobello Mushrooms (150g)",0,0,"468997","Morrisons The Best Portobello Mushrooms (150g)","Mushrooms","Morrisons The Best Portobello Mushrooms ","Morrisons",1,NA,6.67,"150g","Kg",2019-01-21
"NA Morrisons Sliced Chestnut Mushrooms (250g)",0,0,"NA","Morrisons Sliced Chestnut Mushrooms (250g)","Mushrooms","Morrisons Sliced Chestnut Mushrooms ","Morrisons",1,NA,4,"250g","Kg",2019-01-21
"NA Morrisons Organic Chestnut Mushrooms (250g)",0,0,"NA","Morrisons Organic Chestnut Mushrooms (250g)","Mushrooms","Morrisons Organic Chestnut Mushrooms ","Morrisons",1.15,NA,4.6,"250g","Kg",2019-01-21
"027979 Waitrose Button Mushrooms (200g)",0,0,"027979","Waitrose Button Mushrooms (200g)","Mushrooms","Waitrose Button Mushrooms ","Ocado",1.19,5,5.95,"200g","Kg",2019-01-21
"416145 Ocado Chestnut Mushrooms (250g)",0,0,"416145","Ocado Chestnut Mushrooms (250g)","Mushrooms","Ocado Chestnut Mushrooms ","Ocado",1,NA,4,"250g","Kg",2019-01-21
"430416 Hughes Portabellini Mushrooms (300g)",0,0,"430416","Hughes Portabellini Mushrooms (300g)","Mushrooms","Hughes Portabellini Mushrooms ","Ocado",1.99,3.32,6.63,"300g","Kg",2019-01-21
"241060 Essential Waitrose Cup Mushrooms (300g)",0,0,"241060","Essential Waitrose Cup Mushrooms (300g)","Mushrooms","Essential Waitrose Cup Mushrooms ","Ocado",1,NA,3.33,"300g","Kg",2019-01-21
"160598 Essential Waitrose Cup Mushrooms (500g)",0,0,"160598","Essential Waitrose Cup Mushrooms (500g)","Mushrooms","Essential Waitrose Cup Mushrooms ","Ocado",1.65,NA,3.3,"500g","Kg",2019-01-21
"248962 Ocado Sliced Mushrooms (300g)",0,0,"248962","Ocado Sliced Mushrooms (300g)","Mushrooms","Ocado Sliced Mushrooms ","Ocado",1.2,NA,3,"300g","Kg",2019-01-21
"416144 Ocado Chestnut Mushrooms (625g)",0,0,"416144","Ocado Chestnut Mushrooms (625g)","Mushrooms","Ocado Chestnut Mushrooms ","Ocado",2.26,NA,3.62,"625g","Kg",2019-01-21
"NA Ocado Flat Mushrooms (300g)",0,0,"NA","Ocado Flat Mushrooms (300g)","Mushrooms","Ocado Flat Mushrooms ","Ocado",1.2,NA,4,"300g","Kg",2019-01-21
"302858 Ocado Organic Chestnut Mushrooms (250g)",0,0,"302858","Ocado Organic Chestnut Mushrooms (250g)","Mushrooms","Ocado Organic Chestnut Mushrooms ","Ocado",1.2,NA,4.8,"250g","Kg",2019-01-21
"299715 Ocado Gold Portobello Mushrooms (250g)",0,0,"299715","Ocado Gold Portobello Mushrooms (250g)","Mushrooms","Ocado Gold Portobello Mushrooms ","Ocado",1.62,NA,6.48,"250g","Kg",2019-01-21
"248860 Ocado Gold Shiitake Mushrooms (125g)",0,0,"248860","Ocado Gold Shiitake Mushrooms (125g)","Mushrooms","Ocado Gold Shiitake Mushrooms ","Ocado",1.35,NA,9.68,"125g","Kg",2019-01-21
"302863 Ocado Organic White Cup Mushrooms (290g)",0,0,"302863","Ocado Organic White Cup Mushrooms (290g)","Mushrooms","Ocado Organic White Cup Mushrooms ","Ocado",1,NA,3.45,"290g","Kg",2019-01-21
"NA Ocado Baby Chestnut Mushrooms (150g)",0,0,"NA","Ocado Baby Chestnut Mushrooms (150g)","Mushrooms","Ocado Baby Chestnut Mushrooms ","Ocado",1,NA,6.67,"150g","Kg",2019-01-21
"302862 Ocado Organic Portabellini Mushrooms (200g)",0,0,"302862","Ocado Organic Portabellini Mushrooms (200g)","Mushrooms","Ocado Organic Portabellini Mushrooms ","Ocado",2.3,NA,11.5,"200g","Kg",2019-01-21
"248858 Ocado Gold Grey Oyster Mushrooms (125g)",0,0,"248858","Ocado Gold Grey Oyster Mushrooms (125g)","Mushrooms","Ocado Gold Grey Oyster Mushrooms ","Ocado",1.49,NA,10.72,"125g","Kg",2019-01-21
"249288 Ocado Gold Exotic Mushroom Mix (170g)",0,0,"249288","Ocado Gold Exotic Mushroom Mix (170g)","Mushrooms","Ocado Gold Exotic Mushroom Mix ","Ocado",2.04,NA,10.76,"170g","Kg",2019-01-21
"302851 Ocado Gold Wild Mushrooms (100g)",0,0,"302851","Ocado Gold Wild Mushrooms (100g)","Mushrooms","Ocado Gold Wild Mushrooms ","Ocado",2,NA,20,"100g","Kg",2019-01-21
"434132 Natoora Organic Shiitake Mushrooms (80g)",0,0,"434132","Natoora Organic Shiitake Mushrooms (80g)","Mushrooms","Natoora Organic Shiitake Mushrooms ","Ocado",2.69,26.9,33.63,"80g","Kg",2019-01-21
"304743 Ocado Organic Button Mushrooms (150g)",0,0,"304743","Ocado Organic Button Mushrooms (150g)","Mushrooms","Ocado Organic Button Mushrooms ","Ocado",1.4,NA,9.33,"150g","Kg",2019-01-21
"483851 Natoora Brown Paris Mushrooms (200g)",0,0,"483851","Natoora Brown Paris Mushrooms (200g)","Mushrooms","Natoora Brown Paris Mushrooms ","Ocado",2.99,NA,14.95,"200g","Kg",2019-01-21
"235202 Natoora Fresh Chanterelle Mushrooms (80g)",0,0,"235202","Natoora Fresh Chanterelle Mushrooms (80g)","Mushrooms","Natoora Fresh Chanterelle Mushrooms ","Ocado",4.99,NA,62.38,"80g","Kg",2019-01-21
"NA Hughes Baby Button Chestnut Mushrooms (200g)",0,0,"NA","Hughes Baby Button Chestnut Mushrooms (200g)","Mushrooms","Hughes Baby Button Chestnut Mushrooms ","Ocado",1.69,NA,8.45,"200g","Kg",2019-01-21
"518723 Sainsbury's Mushrooms Greengrocer (300g)",0,0,"518723","Sainsbury's Mushrooms Greengrocer (300g)","Mushrooms","Sainsbury's Mushrooms Greengrocer ","Sainsburys",0.75,NA,2.5,"300g","Kg",2019-01-21
"154032 Sainsbury's Closed Cup White Mushrooms (300g)",0,0,"154032","Sainsbury's Closed Cup White Mushrooms (300g)","Mushrooms","Sainsbury's Closed Cup White Mushrooms ","Sainsburys",0.95,NA,3.17,"300g","Kg",2019-01-21
"042784 Sainsbury's Chestnut Mushrooms Closed Cup (250g)",0,0,"042784","Sainsbury's Chestnut Mushrooms Closed Cup (250g)","Mushrooms","Sainsbury's Chestnut Mushrooms Closed Cup ","Sainsburys",1,NA,4,"250g","Kg",2019-01-21
"251040 Sainsbury's Baby Button Mushrooms (200g)",0,0,"251040","Sainsbury's Baby Button Mushrooms (200g)","Mushrooms","Sainsbury's Baby Button Mushrooms ","Sainsburys",1,NA,5,"200g","Kg",2019-01-21
"042787 Sainsbury's Large Flat Mushrooms (250g)",0,0,"042787","Sainsbury's Large Flat Mushrooms (250g)","Mushrooms","Sainsbury's Large Flat Mushrooms ","Sainsburys",1,NA,4,"250g","Kg",2019-01-21
"027763 Sainsbury's Organic Chestnut Mushrooms (250g)",0,0,"027763","Sainsbury's Organic Chestnut Mushrooms (250g)","Mushrooms","Sainsbury's Organic Chestnut Mushrooms ","Sainsburys",1.1,NA,4.4,"250g","Kg",2019-01-21
"050801 Sainsbury's Mini Portabella Mushrooms (300g)",0,0,"050801","Sainsbury's Mini Portabella Mushrooms (300g)","Mushrooms","Sainsbury's Mini Portabella Mushrooms ","Sainsburys",1.5,NA,5,"300g","Kg",2019-01-21
"027756 Sainsbury's Closed Cup White Mushrooms (500g)",0,0,"027756","Sainsbury's Closed Cup White Mushrooms (500g)","Mushrooms","Sainsbury's Closed Cup White Mushrooms ","Sainsburys",1.5,NA,3,"500g","Kg",2019-01-21
"401176 Sainsbury's Organic Closed Cup Mushrooms (300g)",0,0,"401176","Sainsbury's Organic Closed Cup Mushrooms (300g)","Mushrooms","Sainsbury's Organic Closed Cup Mushrooms ","Sainsburys",1,NA,3.33,"300g","Kg",2019-01-21
"543255 Sainsbury's Chestnut Super Mushrooms (250g)",0,0,"543255","Sainsbury's Chestnut Super Mushrooms (250g)","Mushrooms","Sainsbury's Chestnut Super Mushrooms ","Sainsburys",1.15,NA,4.6,"250g","Kg",2019-01-21
"027755 Sainsbury's Baby Chestnut Mushrooms (150g)",0,0,"027755","Sainsbury's Baby Chestnut Mushrooms (150g)","Mushrooms","Sainsbury's Baby Chestnut Mushrooms ","Sainsburys",1.1,NA,7.33,"150g","Kg",2019-01-21
"042789 Sainsbury's White Mushrooms Sliced (250g)",0,0,"042789","Sainsbury's White Mushrooms Sliced (250g)","Mushrooms","Sainsbury's White Mushrooms Sliced ","Sainsburys",1,NA,4,"250g","Kg",2019-01-21
"042785 Sainsbury's White Closed Cup Mushrooms Loose (Approx 21g)",0,0,"042785","Sainsbury's White Closed Cup Mushrooms Loose (Approx 21g)","Mushrooms","Sainsbury's White Closed Cup Mushrooms Loose ","Sainsburys",0.057,NA,2.7,"Approx 21g","Kg",2019-01-21
"356673 Sainsbury's Taste the Difference Mixed Exotic Mushrooms (200g)",0,0,"356673","Sainsbury's Taste the Difference Mixed Exotic Mushrooms (200g)","Mushrooms","Sainsbury's Taste the Difference Mixed Exotic Mushrooms ","Sainsburys",1.8,NA,9,"200g","Kg",2019-01-21
